"YEAR","STATE.UT","SERVICES...GDP","INDUSTRY...GDP","GDP.PER.CAPITA","POPULATION","X..URBAN","NO2","SO2"
2014,"Assam","56.82151229","23.00685382","29164.68305",31693000,15.6,14.0536989326463,6.80883327199117
2004,"Bihar","54.69893995","13.76413003","8864.454955",87745000,10.5,24.929648241206,11.5427135678392
2005,"Bihar","56.23864691","15.34500197","8566.268597",89264000,10.5,34.0701754385965,11.3377192982456
2006,"Bihar","54.2015622","15.34408365","9789.33467",90752000,10.5,39.4339285714286,9.98452380952381
2007,"Bihar","55.9355327","17.36703093","10169.83993",92208000,10.5,41.1717514124294,9.74519774011299
2008,"Bihar","54.71588361","17.57161853","11471.57412",93633000,10.5,38.5047169811321,6.82924528301887
2009,"Bihar","58.25513412","19.02603431","11908.06516",95026000,10.5,34.5681818181818,4.625
2010,"Bihar","55.70887623","21.2432288","13504.74535",96389000,10.5,36.16,6.488
2011,"Bihar","56.62419525","19.86316112","14690.96193",97720000,10.5,35.734375,4.25
2012,"Bihar","58.89529305","18.11495427","16048.16502",99020000,10.5,36.1236559139785,6.1505376344086
2013,"Bihar","61.66505574","18.57042525","17290.96212",100289000,10.5,NA,NA
2014,"Bihar","62.64048675","18.50634849","18693.65975",101526000,10.5,NA,NA
2004,"Chhattisgarh","34.43583665","44.33849697","21850.9359",21904000,21,20.0994318181818,13.1835227272727
2005,"Chhattisgarh","35.49945818","41.31668439","22204.72788",22251000,21.3,25.7467532467532,13.8294372294372
2006,"Chhattisgarh","33.33882839","46.23706615","25935.27485",22594000,21.6,25.7476459510358,14.3566854990584
2007,"Chhattisgarh","33.72864304","45.71349246","27750.83718",22934000,21.9,24.371661237785,13.4638436482085
2008,"Chhattisgarh","34.76083872","48.15886322","29645.4983",23269000,22.2,25.3659050966608,14.3959578207381
2009,"Chhattisgarh","36.81324011","45.26769552","30229.92373",23600000,22.5,24.4175531914894,13.4054964539007
2010,"Chhattisgarh","38.42222629","41.89466934","32973.77659",23929000,22.8,23.2153284671533,11.2810218978102
2011,"Chhattisgarh","37.24567156","43.58288523","34384.27323",24258000,23.1,21.9061174242424,10.7920454545265
2012,"Chhattisgarh","37.8696963","42.30114758","36907.31747",24585000,23.4,19.8471615720524,10.1506550218341
2013,"Chhattisgarh","38.46936542","42.38251273","38244.18885",24909000,23.7,19.5571142284569,9.63326653306613
2014,"Chhattisgarh","39.50066872","41.92848509","39966.10257",25232000,24,19.2177985948478,9.45901639344262
2004,"Delhi","80.46562296","18.44343736","66312.72391",15129000,93.9,NA,NA
2005,"Delhi","81.35743805","17.68521423","70914.04072",15569000,94.2,52.4876923076923,8.46879120879121
2006,"Delhi","82.28256414","16.85582753","77448.08689",16021000,94.4,47.2008196721311,8.91393442622951
2007,"Delhi","83.31557226","15.93126485","83693.80005",16484000,94.6,47.3647849462366,5.77930107526882
2008,"Delhi","84.41079654","14.92655966","91885.04276",16955000,94.8,56.5814009661836,6.30724637681159
2009,"Delhi","85.31278891","13.91219973","96712.46774",17437000,95,53.0300480769231,6.22524038461538
2010,"Delhi","87.07015209","12.14964325","100789.1776",17935000,95.2,NA,NA
2011,"Delhi","88.23384421","11.01794431","103125.2615",18451000,95.4,57.2699386503067,4.5480572597137
2012,"Delhi","88.44945152","10.84226006","107460.9756",18983000,95.6,82.625,5.890625
2013,"Delhi","89.39415779","9.915514313","112648.4254",19529000,95.8,90.4921465968586,4.15706806282722
2014,"Delhi","89.6934543","9.650232222","118468.2958",20092000,96,59.0807453416149,5.30227743271222
2004,"Gujarat","43.9197927","39.99842654","38163.4453",53290000,38.2,26.6493269230769,17.2821314102564
2005,"Gujarat","42.88849155","39.88903908","43179.90395",54140000,38.5,25.0674805771365,15.8559378468368
2006,"Gujarat","43.95662074","40.27064678","46089.05218",54979000,38.8,23.4287139689579,14.9005543237251
2007,"Gujarat","44.35086197","40.19937925","50400.12185",55808000,39.1,22.6176043557169,14.0752268602541
2008,"Gujarat","46.46851412","40.10008624","53039.41652",56626000,39.4,21.0955445544554,12.761303630363
2009,"Gujarat","44.31219267","43.70374139","58175.8192",57434000,39.7,22.309232096635,14.8963761863676
2010,"Gujarat","45.7686583","40.98013098","63123.58841",58232000,40,21.3223207091056,13.9919419822724
2011,"Gujarat","46.73327233","40.16185318","66427.95324",59020000,40.3,22.9370400654129,13.3164349959117
